Playlist A, Playlist B, Feature, Cosine Similarity
4,5,Mode,0.61
4,6,Mode,0.52
4,7,Mode,0.27
4,8,Mode,0.42
4,9,Mode,0.38
4,10,Mode,0.36
4,11,Mode,0.54
4,12,Mode,0.59
5,6,Mode,0.69
5,7,Mode,0.28
5,8,Mode,0.63
5,9,Mode,0.36
5,10,Mode,0.36
5,11,Mode,0.71
5,12,Mode,0.45
6,7,Mode,0.22
6,8,Mode,0.57
6,9,Mode,0.35
6,10,Mode,0.31
6,11,Mode,0.62
6,12,Mode,0.40
7,8,Mode,0.19
7,9,Mode,0.39
7,10,Mode,0.46
7,11,Mode,0.22
7,12,Mode,0.24
8,9,Mode,0.30
8,10,Mode,0.27
8,11,Mode,0.68
8,12,Mode,0.39
9,10,Mode,0.62
9,11,Mode,0.28
9,12,Mode,0.50
10,11,Mode,0.29
10,12,Mode,0.44
11,12,Mode,0.40
0,1,Speechiness,0.62
0,2,Speechiness,0.34
0,3,Speechiness,0.62
0,4,Speechiness,0.46
0,5,Speechiness,0.44
0,6,Speechiness,0.44
0,7,Speechiness,0.36
0,8,Speechiness,0.43
0,9,Speechiness,0.65
0,10,Speechiness,0.53
0,11,Speechiness,0.40
0,12,Speechiness,0.66
1,2,Speechiness,0.46
1,3,Speechiness,0.58
1,4,Speechiness,0.58
1,5,Speechiness,0.61
1,6,Speechiness,0.54
1,7,Speechiness,0.22
1,8,Speechiness,0.50
1,9,Speechiness,0.42
1,10,Speechiness,0.33
1,11,Speechiness,0.46
1,12,Speechiness,0.62
2,3,Speechiness,0.51
2,4,Speechiness,0.43
2,5,Speechiness,0.69
2,6,Speechiness,0.54
2,7,Speechiness,0.17
2,8,Speechiness,0.69
2,9,Speechiness,0.27
2,10,Speechiness,0.19
2,11,Speechiness,0.52
2,12,Speechiness,0.50
3,4,Speechiness,0.48
3,5,Speechiness,0.56
3,6,Speechiness,0.51
3,7,Speechiness,0.22
3,8,Speechiness,0.56
3,9,Speechiness,0.44
3,10,Speechiness,0.38
3,11,Speechiness,0.51
3,12,Speechiness,0.50
4,5,Speechiness,0.58
4,6,Speechiness,0.52
4,7,Speechiness,0.22
4,8,Speechiness,0.47
4,9,Speechiness,0.33
4,10,Speechiness,0.29
4,11,Speechiness,0.44
4,12,Speechiness,0.47
5,6,Speechiness,0.68
5,7,Speechiness,0.19
5,8,Speechiness,0.81
5,9,Speechiness,0.37
5,10,Speechiness,0.30
5,11,Speechiness,0.69
5,12,Speechiness,0.55
6,7,Speechiness,0.18
6,8,Speechiness,0.63
6,9,Speechiness,0.34
6,10,Speechiness,0.23
6,11,Speechiness,0.62
6,12,Speechiness,0.45
7,8,Speechiness,0.16
7,9,Speechiness,0.42
7,10,Speechiness,0.42
7,11,Speechiness,0.16
7,12,Speechiness,0.29
8,9,Speechiness,0.33
8,10,Speechiness,0.23
8,11,Speechiness,0.75
8,12,Speechiness,0.57
9,10,Speechiness,0.54
9,11,Speechiness,0.28
9,12,Speechiness,0.46
10,11,Speechiness,0.23
10,12,Speechiness,0.50
11,12,Speechiness,0.43
0,1,Acousticness,0.39
0,2,Acousticness,0.40
0,3,Acousticness,0.48
0,4,Acousticness,0.47
0,5,Acousticness,0.56
0,6,Acousticness,0.38
0,7,Acousticness,0.31
0,8,Acousticness,0.34
0,9,Acousticness,0.59
0,10,Acousticness,0.40
0,11,Acousticness,0.46
0,12,Acousticness,0.54
1,2,Acousticness,0.15
1,3,Acousticness,0.45
1,4,Acousticness,0.31
1,5,Acousticness,0.22
1,6,Acousticness,0.16
1,7,Acousticness,0.08
1,8,Acousticness,0.17
1,9,Acousticness,0.25
1,10,Acousticness,0.17
1,11,Acousticness,0.22
1,12,Acousticness,0.23
2,3,Acousticness,0.30
2,4,Acousticness,0.33
2,5,Acousticness,0.59
2,6,Acousticness,0.49
2,7,Acousticness,0.14
2,8,Acousticness,0.32
2,9,Acousticness,0.23
2,10,Acousticness,0.16
2,11,Acousticness,0.61
2,12,Acousticness,0.45
3,4,Acousticness,0.38
3,5,Acousticness,0.39
3,6,Acousticness,0.19
3,7,Acousticness,0.12
3,8,Acousticness,0.32
3,9,Acousticness,0.30
3,10,Acousticness,0.18
3,11,Acousticness,0.40
3,12,Acousticness,0.31
4,5,Acousticness,0.55
4,6,Acousticness,0.29
4,7,Acousticness,0.16
4,8,Acousticness,0.39
4,9,Acousticness,0.40
4,10,Acousticness,0.28
4,11,Acousticness,0.44
4,12,Acousticness,0.25
5,6,Acousticness,0.67
5,7,Acousticness,0.18
5,8,Acousticness,0.58
5,9,Acousticness,0.40
5,10,Acousticness,0.29
5,11,Acousticness,0.79
5,12,Acousticness,0.51
6,7,Acousticness,0.14
6,8,Acousticness,0.32
6,9,Acousticness,0.28
6,10,Acousticness,0.14
6,11,Acousticness,0.48
6,12,Acousticness,0.40
7,8,Acousticness,0.18
7,9,Acousticness,0.24
7,10,Acousticness,0.27
