Playlist A, Playlist B, Feature, Cosine Similarity
2,13,Speechiness,0.59
2,14,Speechiness,0.63
2,15,Speechiness,0.69
3,4,Speechiness,0.58
3,5,Speechiness,0.27
3,6,Speechiness,0.33
3,7,Speechiness,0.35
3,8,Speechiness,0.53
3,9,Speechiness,0.43
3,10,Speechiness,0.30
3,11,Speechiness,0.42
3,12,Speechiness,0.52
3,13,Speechiness,0.42
3,14,Speechiness,0.63
3,15,Speechiness,0.50
4,5,Speechiness,0.25
4,6,Speechiness,0.29
4,7,Speechiness,0.29
4,8,Speechiness,0.48
4,9,Speechiness,0.38
4,10,Speechiness,0.27
4,11,Speechiness,0.37
4,12,Speechiness,0.43
4,13,Speechiness,0.40
4,14,Speechiness,0.48
4,15,Speechiness,0.44
5,6,Speechiness,0.69
5,7,Speechiness,0.46
5,8,Speechiness,0.34
5,9,Speechiness,0.23
5,10,Speechiness,0.55
5,11,Speechiness,0.60
5,12,Speechiness,0.42
5,13,Speechiness,0.49
5,14,Speechiness,0.54
5,15,Speechiness,0.66
6,7,Speechiness,0.49
6,8,Speechiness,0.31
6,9,Speechiness,0.30
6,10,Speechiness,0.64
6,11,Speechiness,0.75
6,12,Speechiness,0.40
6,13,Speechiness,0.55
6,14,Speechiness,0.57
6,15,Speechiness,0.73
7,8,Speechiness,0.30
7,9,Speechiness,0.35
7,10,Speechiness,0.42
7,11,Speechiness,0.59
7,12,Speechiness,0.47
7,13,Speechiness,0.64
7,14,Speechiness,0.55
7,15,Speechiness,0.60
8,9,Speechiness,0.34
8,10,Speechiness,0.27
8,11,Speechiness,0.39
8,12,Speechiness,0.42
8,13,Speechiness,0.37
8,14,Speechiness,0.52
8,15,Speechiness,0.44
9,10,Speechiness,0.27
9,11,Speechiness,0.40
9,12,Speechiness,0.54
9,13,Speechiness,0.46
9,14,Speechiness,0.59
9,15,Speechiness,0.58
10,11,Speechiness,0.62
10,12,Speechiness,0.35
10,13,Speechiness,0.67
10,14,Speechiness,0.50
10,15,Speechiness,0.67
11,12,Speechiness,0.65
11,13,Speechiness,0.70
11,14,Speechiness,0.73
11,15,Speechiness,0.87
12,13,Speechiness,0.58
12,14,Speechiness,0.84
12,15,Speechiness,0.73
13,14,Speechiness,0.71
13,15,Speechiness,0.69
14,15,Speechiness,0.82
0,1,Acousticness,0.39
0,2,Acousticness,0.36
0,3,Acousticness,0.71
0,4,Acousticness,0.40
0,5,Acousticness,0.34
0,6,Acousticness,0.39
0,7,Acousticness,0.62
0,8,Acousticness,0.49
0,9,Acousticness,0.71
0,10,Acousticness,0.41
0,11,Acousticness,0.52
0,12,Acousticness,0.55
0,13,Acousticness,0.65
0,14,Acousticness,0.59
0,15,Acousticness,0.72
1,2,Acousticness,0.16
1,3,Acousticness,0.42
1,4,Acousticness,0.64
1,5,Acousticness,0.10
1,6,Acousticness,0.25
1,7,Acousticness,0.27
1,8,Acousticness,0.37
1,9,Acousticness,0.31
1,10,Acousticness,0.33
1,11,Acousticness,0.39
1,12,Acousticness,0.31
1,13,Acousticness,0.31
1,14,Acousticness,0.27
1,15,Acousticness,0.40
2,3,Acousticness,0.40
2,4,Acousticness,0.20
2,5,Acousticness,0.33
2,6,Acousticness,0.55
2,7,Acousticness,0.39
2,8,Acousticness,0.29
2,9,Acousticness,0.41
2,10,Acousticness,0.49
2,11,Acousticness,0.55
2,12,Acousticness,0.49
2,13,Acousticness,0.43
2,14,Acousticness,0.18
2,15,Acousticness,0.56
3,4,Acousticness,0.52
3,5,Acousticness,0.34
3,6,Acousticness,0.36
3,7,Acousticness,0.56
3,8,Acousticness,0.66
3,9,Acousticness,0.63
3,10,Acousticness,0.48
3,11,Acousticness,0.50
3,12,Acousticness,0.57
3,13,Acousticness,0.56
3,14,Acousticness,0.55
3,15,Acousticness,0.68
4,5,Acousticness,0.16
4,6,Acousticness,0.19
4,7,Acousticness,0.29
4,8,Acousticness,0.47
4,9,Acousticness,0.34
4,10,Acousticness,0.22
4,11,Acousticness,0.25
4,12,Acousticness,0.37
4,13,Acousticness,0.35
4,14,Acousticness,0.29
4,15,Acousticness,0.33
5,6,Acousticness,0.62
5,7,Acousticness,0.49
5,8,Acousticness,0.13
5,9,Acousticness,0.33
5,10,Acousticness,0.48
5,11,Acousticness,0.42
5,12,Acousticness,0.16
5,13,Acousticness,0.16
5,14,Acousticness,0.39
5,15,Acousticness,0.44
6,7,Acousticness,0.42
6,8,Acousticness,0.21
6,9,Acousticness,0.45
6,10,Acousticness,0.66
6,11,Acousticness,0.59
6,12,Acousticness,0.40
6,13,Acousticness,0.32
6,14,Acousticness,0.33
6,15,Acousticness,0.49
7,8,Acousticness,0.42
7,9,Acousticness,0.66
7,10,Acousticness,0.51
7,11,Acousticness,0.49
7,12,Acousticness,0.50
7,13,Acousticness,0.47
7,14,Acousticness,0.59
7,15,Acousticness,0.73
8,9,Acousticness,0.42
8,10,Acousticness,0.46
8,11,Acousticness,0.47
8,12,Acousticness,0.49
8,13,Acousticness,0.37
8,14,Acousticness,0.37
8,15,Acousticness,0.48
9,10,Acousticness,0.53
9,11,Acousticness,0.53
9,12,Acousticness,0.59
9,13,Acousticness,0.65
9,14,Acousticness,0.62
9,15,Acousticness,0.74
10,11,Acousticness,0.69
10,12,Acousticness,0.34
10,13,Acousticness,0.26
