Playlist A, Playlist B, Feature, Cosine Similarity
1,15,Loudness,0.59
2,3,Loudness,0.52
2,4,Loudness,0.32
2,5,Loudness,0.66
2,6,Loudness,0.52
2,7,Loudness,0.82
2,8,Loudness,0.50
2,9,Loudness,0.24
2,10,Loudness,0.37
2,11,Loudness,0.48
2,12,Loudness,0.63
2,13,Loudness,0.69
2,14,Loudness,0.61
2,15,Loudness,0.60
3,4,Loudness,0.56
3,5,Loudness,0.71
3,6,Loudness,0.82
3,7,Loudness,0.50
3,8,Loudness,0.74
3,9,Loudness,0.38
3,10,Loudness,0.60
3,11,Loudness,0.71
3,12,Loudness,0.75
3,13,Loudness,0.63
3,14,Loudness,0.74
3,15,Loudness,0.66
4,5,Loudness,0.48
4,6,Loudness,0.60
4,7,Loudness,0.31
4,8,Loudness,0.62
4,9,Loudness,0.56
4,10,Loudness,0.76
4,11,Loudness,0.68
4,12,Loudness,0.51
4,13,Loudness,0.41
4,14,Loudness,0.50
4,15,Loudness,0.44
5,6,Loudness,0.75
5,7,Loudness,0.64
5,8,Loudness,0.67
5,9,Loudness,0.36
5,10,Loudness,0.54
5,11,Loudness,0.65
5,12,Loudness,0.87
5,13,Loudness,0.76
5,14,Loudness,0.88
5,15,Loudness,0.78
6,7,Loudness,0.53
6,8,Loudness,0.80
6,9,Loudness,0.41
6,10,Loudness,0.65
6,11,Loudness,0.76
6,12,Loudness,0.77
6,13,Loudness,0.65
6,14,Loudness,0.78
6,15,Loudness,0.68
7,8,Loudness,0.49
7,9,Loudness,0.25
7,10,Loudness,0.38
7,11,Loudness,0.46
7,12,Loudness,0.61
7,13,Loudness,0.67
7,14,Loudness,0.60
7,15,Loudness,0.59
8,9,Loudness,0.44
8,10,Loudness,0.69
8,11,Loudness,0.79
8,12,Loudness,0.70
8,13,Loudness,0.60
8,14,Loudness,0.68
8,15,Loudness,0.62
9,10,Loudness,0.49
9,11,Loudness,0.46
9,12,Loudness,0.36
9,13,Loudness,0.29
9,14,Loudness,0.36
9,15,Loudness,0.32
10,11,Loudness,0.76
10,12,Loudness,0.57
10,13,Loudness,0.47
10,14,Loudness,0.56
10,15,Loudness,0.50
11,12,Loudness,0.67
11,13,Loudness,0.59
11,14,Loudness,0.67
11,15,Loudness,0.61
12,13,Loudness,0.76
12,14,Loudness,0.89
12,15,Loudness,0.78
13,14,Loudness,0.75
13,15,Loudness,0.80
14,15,Loudness,0.80
0,1,Mode,0.55
0,2,Mode,0.31
0,3,Mode,0.66
0,4,Mode,0.45
0,5,Mode,0.66
0,6,Mode,0.57
0,7,Mode,0.44
0,8,Mode,0.51
0,9,Mode,0.30
0,10,Mode,0.44
0,11,Mode,0.49
0,12,Mode,0.58
0,13,Mode,0.58
0,14,Mode,0.55
0,15,Mode,0.54
1,2,Mode,0.29
1,3,Mode,0.64
1,4,Mode,0.51
1,5,Mode,0.52
1,6,Mode,0.60
1,7,Mode,0.43
1,8,Mode,0.57
1,9,Mode,0.38
1,10,Mode,0.51
1,11,Mode,0.52
1,12,Mode,0.51
1,13,Mode,0.46
1,14,Mode,0.46
1,15,Mode,0.41
2,3,Mode,0.35
2,4,Mode,0.19
2,5,Mode,0.39
2,6,Mode,0.30
2,7,Mode,0.52
2,8,Mode,0.28
2,9,Mode,0.14
2,10,Mode,0.23
2,11,Mode,0.26
2,12,Mode,0.30
2,13,Mode,0.38
2,14,Mode,0.34
2,15,Mode,0.32
3,4,Mode,0.51
3,5,Mode,0.64
3,6,Mode,0.64
3,7,Mode,0.48
3,8,Mode,0.59
3,9,Mode,0.33
3,10,Mode,0.46
3,11,Mode,0.48
3,12,Mode,0.58
3,13,Mode,0.54
3,14,Mode,0.56
3,15,Mode,0.55
4,5,Mode,0.44
4,6,Mode,0.49
4,7,Mode,0.28
4,8,Mode,0.52
