artists,occurrence,freqency
"BTS;Halsey",1,0.022727
"Emily Browning;Stuart Murdoch;Belle and Sebastian",1,0.022727
"The Wonders",1,0.022727
"The Beach Boys",2,0.045455
"Cass Elliot",1,0.022727
"Sixpence None The Richer",1,0.022727
"Sheryl Crow",1,0.022727
"Dua Lipa;BLACKPINK",1,0.022727
"Beyoncé;JAŸ-Z",2,0.045455
"The Pussycat Dolls;Busta Rhymes",1,0.022727
"Lana Del Rey;Stevie Nicks",1,0.022727
"Lady Gaga;Florence Welch",1,0.022727
"Glee Cast",6,0.136364
"Katy Perry;Snoop Dogg",1,0.022727
"Gwen Stefani;Akon",1,0.022727
"Sharpay Evans;Lucas Grabeel;Disney",1,0.022727
"The Weather Girls",3,0.068182
"Superchick",1,0.022727
"Fifth Harmony;Kid Ink",1,0.022727
"Annaleigh Ashford;Delta Nus;Dequina Moore;Laura Bell Bundy;Leslie Kritzer",1,0.022727
"Beyoncé;Sean Paul",1,0.022727
"Nelly Furtado;Timbaland",1,0.022727
"Fergie;Ludacris",1,0.022727
"Nelly;City Spud",1,0.022727
"Vanessa Carlton",1,0.022727
"Shakira",3,0.068182
"Cobra Starship;Leighton Meester",1,0.022727
"Taylor Dayne",1,0.022727
"Sara Paxton",1,0.022727
"Teitur",1,0.022727
"Courtney Jaye",1,0.022727
"Nikki Cleary",1,0.022727
"Naomi Scott",1,0.022727
"Robbie Williams",2,0.045455
"Donna Summer;Gigamesh",1,0.022727
"The Cure",2,0.045455
"Alphabeat",1,0.022727
"The Romantics",1,0.022727
"fun.;Janelle Monáe",1,0.022727
"Weezer",2,0.045455
"Katrina & The Waves",1,0.022727
"Doja Cat;Gucci Mane",1,0.022727
"Tal Bachman",1,0.022727
"The La's",1,0.022727
"Grace Mitchell",1,0.022727
"Fergie;will.i.am",1,0.022727
"DoM",1,0.022727
"Tavares",1,0.022727
"Donna Summer",4,0.090909
"The Undertones",1,0.022727
"Chaka Khan",1,0.022727
"I5",1,0.022727
"Kelly",1,0.022727
"Coco Jones",1,0.022727
"Nicki Minaj;Ice Spice;Aqua",1,0.022727
"KAROL G;Aldo Ranks",1,0.022727
"FIFTY FIFTY;Kaliii",1,0.022727
"Eddie Murphy",1,0.022727
"Glee Cast;Gwyneth Paltrow",1,0.022727
"Dove Cameron",3,0.068182
"Barbie;Mattel",1,0.022727
"Lindana",1,0.022727
"Kate Alexa",1,0.022727
"Maggie Rogers",1,0.022727
"Myra",1,0.022727
"Mark Ronson;Andrew Wyatt",1,0.022727
"Brandi Carlile;Catherine Carlile",1,0.022727
"Lesley Gore",2,0.045455
"The Bangles;Susanna Hoffs",1,0.022727
"salem ilese",1,0.022727
"Hey Monday",1,0.022727
"PinkPantheress;Zara Larsson",1,0.022727
"dodie",1,0.022727
"Juliana Chahayed",1,0.022727
"Billie Eilish,Khalid",1,0.022727
"Aqua,Tiësto",1,0.022727
"FIFTY FIFTY",1,0.022727
"Zara Larsson",5,0.113636
"TWICE",1,0.022727
"Madonna,Justin Timberlake,Timbaland",3,0.068182
"Little Mix,mgk",1,0.022727
"Taylor Swift,ELVIRA",1,0.022727
"Kylie Minogue,Olly Alexander (Years & Years)",1,0.022727
"Kris Kross Amsterdam,Sofía Reyes,Tinie Tempah",1,0.022727
"Lady Gaga,Colby O'Donis",2,0.045455
"Britney Spears,Madonna",1,0.022727
"Becky G",1,0.022727
"IVE",1,0.022727
"The Black Ghosts",1,0.022727
"Mark Ronson,The Business Intl,MNDR",1,0.022727
"Madge",1,0.022727
"Skee-Lo",1,0.022727
"Daft Punk",3,0.068182
"Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",2,0.045455
"The Chemical Brothers",1,0.022727
"Domino",1,0.022727
"Rod Stewart",1,0.022727
"Coolio",1,0.022727
"Inner City",1,0.022727
"Lil' Kim,Snoop Dogg",1,0.022727
"Robert L. Huggar",1,0.022727
"Tyrese",1,0.022727
"Ty Dolla $ign,PJ,Sa-Ra",1,0.022727
"Teedra Moses",2,0.045455
"Les Sins",1,0.022727
"Saweetie,YG,Tyga",1,0.022727
"Mark Morrison",1,0.022727
"Adina Howard",1,0.022727
"Michiko",1,0.022727
"Khruangbin",1,0.022727
"Bananarama",1,0.022727
"TSHA",1,0.022727
"IAMNOBODI",1,0.022727
"Terry Hunter,Reelsoul,DJ Spen,Rona Ray",1,0.022727
"Shaun Escoffery",1,0.022727
"E-40",1,0.022727
"Miguel Migs",1,0.022727
"Mariah Carey,Da Brat,Missy Elliott",1,0.022727
"Miguel Migs,Andy Allo",1,0.022727
"E-40,Suga T",1,0.022727
"The Runaways",2,0.045455
"The Five Stars",6,0.136364
"Sparks",1,0.022727
"Elton Britt",4,0.090909
"Jonas Brothers",1,0.022727
"Nena",6,0.136364
"Metric",1,0.022727
"The Killers",5,0.113636
"Ian Dury,The Blockheads",1,0.022727
"Scene Queen,Set It Off",2,0.045455
"Bikini Kill",1,0.022727
"Jazmin Bean",1,0.022727
"The Aquabats!",1,0.022727
"R.E.M.",2,0.045455
"Poppy,Grimes",1,0.022727
"AFI",1,0.022727
"Björk",2,0.045455
"The Postal Service",1,0.022727
"William Onyeabor",1,0.022727
"The Kills",2,0.045455
"Republika",1,0.022727
"Sun Ra",1,0.022727
"Tiger Army",1,0.022727
"Green Day",4,0.090909
"Steve Stevens",1,0.022727
"Scene Queen",16,0.363636
"Halestorm",3,0.068182
"Beach Bunny",1,0.022727
"chloe moriondo",1,0.022727
"Orchestral Manoeuvres In The Dark",4,0.090909
"Le Tigre",1,0.022727
"Grimes",2,0.045455
"Grimes,HANA",1,0.022727
"Danny Kaye,The Andrews Sisters,Vic Schoen & His Orchestra",2,0.045455
"Wolf Alice",1,0.022727
"Lilyisthatyou",1,0.022727
"NOT THE MAIN CHARACTERS",1,0.022727
"CHINCHILLA",1,0.022727
"Fluke",1,0.022727
"Count Zero",1,0.022727
"Mars Moles",1,0.022727
"Gunship",1,0.022727
"CRMNL",1,0.022727
"Stela Cole",1,0.022727
"The Kinks",1,0.022727
"Matt Maltese",2,0.045455
