artists,occurrence,freqency
"Ashnikko",5,0.021097
"Ashnikko,Baby Tate",2,0.008439
"Kate Rockwell,Original Broadway Cast of Mean Girls",1,0.004219
"Cat Janice",3,0.012658
"UPSAHL",1,0.004219
"Cardi B,Megan Thee Stallion",6,0.025316
"Cardi B",17,0.071730
"Fleetwood Mac",66,0.278481
"Stevie Nicks",7,0.029536
"Måneskin",10,0.042194
"Lady Gaga,Beyoncé",3,0.012658
"Garfunkel and Oates",1,0.004219
"Scene Queen,6arelyhuman",2,0.008439
"Set It Off,Scene Queen",1,0.004219
"Reneé Rapp,Megan Thee Stallion",2,0.008439
"Reneé Rapp,Cast of Mean Girls",1,0.004219
"OMI",1,0.004219
"Hozier",27,0.113924
"Maren Morris,Hozier",1,0.004219
"Smosh,bbno$",1,0.004219
"Chappell Roan",44,0.185654
"Lil Nas X,Jack Harlow",7,0.029536
"Lil Nas X",10,0.042194
"Billie Eilish",127,0.535865
"José Feliciano,Ewan McGregor,Jacek Koman",1,0.004219
"leydown",1,0.004219
"Alan Cumming,Cabaret Ensemble (1998)",1,0.004219
"Erin Hill,Michael O'Donnell,Alan Cumming",1,0.004219
"Scene Queen,WARGASM (UK)",1,0.004219
"CORPSE,OmenXIII",1,0.004219
"CORPSE,Savage Ga$p",1,0.004219
"Demi Lovato",27,0.113924
"Fifth Harmony",9,0.037975
"Aliyah's Interlude",3,0.012658
"Tessa Violet",2,0.008439
"EMELINE",4,0.016878
"Mother Mother",5,0.021097
"Imagine Dragons,JID,Arcane,League of Legends",1,0.004219
"Taylor Swift,Ice Spice",1,0.004219
"Paris Hilton,Kim Petras",1,0.004219
"Tevin Campbell,Rosie Gaines",2,0.008439
"Gwen Stefani,Johnny Vulture",1,0.004219
"Ava Max",19,0.080169
"Doja Cat,Gucci Mane",4,0.016878
"Keri Hilson",6,0.025316
"Fergie,will.i.am",9,0.037975
"Taylor Swift,Kendrick Lamar",5,0.021097
"Lil Mama",6,0.025316
"Avril Lavigne,Lil Mama,Dr. Luke",1,0.004219
"Fergie,Ludacris",11,0.046414
"Paris Hilton",5,0.021097
"Hilary Duff",9,0.037975
"Lindsay Lohan",3,0.012658
"Hayley Kiyoko",6,0.025316
"Mandy Moore",6,0.025316
