artists,occurrence,freqency
"KAROL G,Aldo Ranks",3,0.200000
"Tiësto,Charli xcx",1,0.066667
"Petey Pablo",1,0.066667
"DaBaby",2,0.133333
"ROSALÍA",2,0.133333
"Eminem,Nate Dogg",1,0.066667
"Icandy",1,0.066667
"Ludacris,Nicki Minaj",1,0.066667
"Megan Thee Stallion",9,0.600000
"Pitbull,Ne-Yo",2,0.133333
"Pitbull,Chris Brown",2,0.133333
"Beyoncé,Kendrick Lamar",1,0.066667
"The Weeknd",2,0.133333
"Swedish House Mafia,The Weeknd",1,0.066667
"Aly & AJ",4,0.266667
"Bridgit Mendler",2,0.133333
"Sean Kingston",2,0.133333
"Flo Rida,T-Pain",1,0.066667
"Lady Gaga,Colby O'Donis",1,0.066667
"David Guetta,Bebe Rexha",2,0.133333
"Pop Smoke",1,0.066667
"El Alfa,CJ,Chael Produciendo,El Cherry Scom",1,0.066667
"Far East Movement,The Cataracs,DEV",2,0.133333
"Sofi Tukker",1,0.066667
"sped up nightcore",1,0.066667
"Muppet DJ,SECA Records",1,0.066667
"Mc Kitinho,DJ R7",1,0.066667
"USHER,Lil Jon,Ludacris",2,0.133333
"Eslabon Armado,Peso Pluma",1,0.066667
"Flo Rida",4,0.266667
"Cascada",3,0.200000
"Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",2,0.133333
"Playboi Carti",2,0.133333
"Yeah Yeah Yeahs,A-Trak",2,0.133333
"Travis Scott",3,0.200000
"Travis Scott,HVME",1,0.066667
"Kid Cudi,MGMT,Ratatat",1,0.066667
"Troye Sivan",2,0.133333
"Kevin McKay,Start The Party,CAMPS,Jen Payne",1,0.066667
"Jain,Ian Asher",1,0.066667
"Vintage Culture,Zerky,Cherub",1,0.066667
"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",2,0.133333
"Lee Cabrera,Kevin McKay,Bleech",1,0.066667
"LMFAO,Lil Jon",2,0.133333
"Jason Derulo,2 Chainz",1,0.066667
"Drake,Rick Ross",2,0.133333
"Endor",2,0.133333
"A$AP Ferg,Nicki Minaj",1,0.066667
"Lana Del Rey,Cedric Gervais",1,0.066667
"Gucci Mane,Bruno Mars,Kodak Black",1,0.066667
"Martin Solveig,Dragonette",1,0.066667
"Shakira",2,0.133333
"Edward Maya,Vika Jigulina",1,0.066667
"cassö,RAYE,D-Block Europe",1,0.066667
"Kendrick Lamar",1,0.066667
"J Balvin,USHER,DJ Khaled",1,0.066667
"Chief Keef",2,0.133333
"GetItDmac",1,0.066667
"Sheck Wes",1,0.066667
"Speaker Knockerz",2,0.133333
"Riton,Nightcrawlers,Mufasa & Hypeman,Mufasa,Dopamine",1,0.066667
"BlocBoy JB,Drake",1,0.066667
"Travis Porter,Tyga",1,0.066667
"Sage The Gemini,Iamsu!",1,0.066667
"Sage The Gemini",1,0.066667
"Meek Mill",1,0.066667
"Soulja Boy",1,0.066667
"Travis Porter",1,0.066667
"Tee Grizzley",1,0.066667
"Priceless Da Roc",1,0.066667
"Yo Gotti,Nicki Minaj",1,0.066667
"Cali Swag District",1,0.066667
"50 Cent",1,0.066667
"Migos",1,0.066667
"JAY-Z,Kanye West",2,0.133333
"Big Sean,E-40",1,0.066667
"TIKTOKNOW",1,0.066667
"Big Sean,Nicki Minaj",1,0.066667
"Drake",3,0.200000
"Lil Baby,Drake",1,0.066667
"Drake,Future,Young Thug",1,0.066667
