tracks,occurrence,freqency
"Say So (feat. Nicki Minaj)",1,0.076923
"Yummy",1,0.076923
"Houdini",2,0.153846
"IT GIRL",1,0.076923
"Bad Blood (feat. Kendrick Lamar) (Taylor's Version)",1,0.076923
"Lovefool",2,0.153846
"Never Lose Me",1,0.076923
"Escapism. - Sped Up",2,0.153846
"Bongos (feat. Megan Thee Stallion)",1,0.076923
"Yeah Glo!",1,0.076923
"MY HOUSE",1,0.076923
"Breakin' Dishes",1,0.076923
"IT GIRL - Sped up Version",1,0.076923
"Judas",1,0.076923
"J CHRIST",1,0.076923
"true story",1,0.076923
"The Party's Just Begun",1,0.076923
"Feather",1,0.076923
"Nonsense",2,0.153846
"Hold Me Closer",1,0.076923
"Anti-Hero",1,0.076923
"BREAK MY SOUL",2,0.153846
"365",1,0.076923
"Guess",1,0.076923
"Roman's Revenge",1,0.076923
"OKI DOKI",1,0.076923
"MotorSport",1,0.076923
"Heartless",1,0.076923
"Low",1,0.076923
"Her Way - Sped Up",1,0.076923
"Eat It",1,0.076923
"Stupid Hoe",1,0.076923
"blazed (feat. Pharrell Williams)",1,0.076923
"Conceited",1,0.076923
"Long Way 2 Go",1,0.076923
"Panini",1,0.076923
"OHMAMI",1,0.076923
"#BrooklynBloodPop!",1,0.076923
"Love Potions",1,0.076923
"FΛSHION",1,0.076923
"LUNCH",2,0.153846
"Von dutch",1,0.076923
"360",1,0.076923
"Good Graces",1,0.076923
"Femininomenon",1,0.076923
"Apple",1,0.076923
"Barbie (Can You Play Ken?)",1,0.076923
"CHIHIRO",2,0.153846
"Flaming Hot Cheetos",1,0.076923
"BIRDS OF A FEATHER",1,0.076923
"Pretty Boy",1,0.076923
"Bubble Gum",1,0.076923
"BABYDOLL",1,0.076923
"Romantic Homicide",1,0.076923
"Compass",1,0.076923
"Scary Love",1,0.076923
"Bloom Later",1,0.076923
"Barbie & Ken",1,0.076923
"Nervous",1,0.076923
"Flawless",1,0.076923
"Hot Rod",1,0.076923
"Afraid",1,0.076923
"Wires",1,0.076923
"Everybody's Watching Me (Uh Oh)",1,0.076923
"Void",1,0.076923
"Friends",1,0.076923
"Slow Down",1,0.076923
"Why'd You Only Call Me When You're High?",1,0.076923
"Pls Cheat On Me",1,0.076923
"Bubble Wrap",1,0.076923
"Eve",1,0.076923
"Fifth",1,0.076923
"My Eyes Only",1,0.076923
"Daddy Issues",1,0.076923
"Sex, Drugs, Etc.",1,0.076923
"Use Me (feat. 070 Shake)",1,0.076923
"Pictures",1,0.076923
"Barbie (Can You Play Ken?) - Slowed",1,0.076923
"Barbie (Can You Play Ken?) - Sped Up",1,0.076923
"Shut up My Moms Calling",1,0.076923
"undefined",1,0.076923
"BLUE",1,0.076923
"Primadonna",3,0.230769
"Life Could Be Sweet",1,0.076923
"Hot N Cold",1,0.076923
"Ode to the Bouncer",1,0.076923
"Class Fight",1,0.076923
"Rich Boyz",1,0.076923
"Honeymoon Avenue",1,0.076923
"Fuck You",1,0.076923
"Perfume",1,0.076923
"Kiss N Tell",1,0.076923
"Kiss Me Thru the Phone",1,0.076923
"Cool - Remastered 2019",1,0.076923
"Golden",1,0.076923
"Naked in Manhattan",1,0.076923
"Fine Wine",2,0.153846
"Pop Star",2,0.153846
"Oh No!",1,0.076923
"Cherry (feat. Hayley Kiyoko)",1,0.076923
"Smile",1,0.076923
"Dance For Love",1,0.076923
"Good For You",1,0.076923
