playlist a,playlist b,common tracks, unique tracks
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","erebos",0,175
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","knights_of_shallow_lake",0,167
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","helviti_batr_vessels_to_elsewhere",0,153
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","lurkers_below",0,164
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","hearthstone",0,167
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","pot_tyr",0,250
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_nature",0,209
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","grave_lady",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dnd",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_intrigue",0,168
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","critical_role",0,173
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_tavern",0,148
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_undead",0,165
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dark__creepy",0,178
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_town",0,258
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_ravenloft",0,230
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_cavern",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mystical",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","skt_maelstrom",0,143
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","tropical",0,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_castle_-_dark_fantasy_rpg",0,146
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","unholy_place",0,152
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_mystical",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_hags",0,159
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_synth_dungeon",0,293
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_ghosts_-_dark_fantasy_rpg",0,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","horror",0,155
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_combat_normal",0,181
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mysterious",0,163
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_awe",0,152
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_desert",0,177
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_desolation",0,266
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_traveling_tinkerers__traders",0,169
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_dragons",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","arabian_nights",0,246
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_tribesmen",0,170
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_sneaky",0,153
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_dungeon_-_dark_fantasy_rpg",0,170
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","peaceful_fantasy_music",0,207
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_action_music",1,481
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_city_-_dark_fantasy_rpg",0,161
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_inn_-_dark_fantasy_rpg",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","situation_chase",0,216
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_war_-_dark_fantasy_rpg",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_desert",0,173
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","sea_shanties",0,184
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_space",0,220
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_a_pleasant_village",0,254
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_goth_-_dark_fantasy_rpg",0,147
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_taverns",0,200
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_night_in_the_city",0,208
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_mountain_pass",0,141
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_dark_music",0,513
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_sci-fi_action",0,191
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_fey_-_dark_fantasy_rpg",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_tribal_-_dark_fantasy_rpg",0,172
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","setting_chult",0,177
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_capital",0,148
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_royal_court_ambiance",0,613
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","holy_ground",0,157
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_ancient_ruins",0,243
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_saloon",0,171
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_tavern",0,169
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_road",0,255
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_action_time",0,267
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_wistful",0,151
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_dungeon",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","desolate",0,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_epic",0,255
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_duel",0,201
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dark_haunting_music",0,386
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_wild",0,331
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_tough",0,285
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_suspense",0,174
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_funny_-_dark_fantasy_rpg",0,142
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_adventure",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","manor__royalty",0,169
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","large_scale_battle",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_mysterious",0,213
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","strahd_-_strahd",0,200
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","boss_favorites",0,152
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","challenge__chase_scenes",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_fey",0,167
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_danger_-_dark_fantasy_rpg",0,158
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","setting_barovia",0,166
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_death_-_dark_fantasy_rpg",0,166
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","city",0,214
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_tense",0,213
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","village__pub",0,163
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","road",0,152
