tracks,occurrence,freqency
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2,0.200000
"No Church In The Wild",1,0.100000
"A.D.H.D",1,0.100000
"Trophies",1,0.100000
"White Iverson",3,0.300000
"Champion",1,0.100000
"Black Beatles",1,0.100000
"Mo Bamba",2,0.200000
"Famous",1,0.100000
"Everything I Am",1,0.100000
"Black and Yellow",1,0.100000
"Hit 'Em Up - Single Version",1,0.100000
"Over",3,0.300000
"Game Winner",1,0.100000
"Mo Chicken (feat. French Montana)",1,0.100000
"Let It All Work Out",1,0.100000
"Transportin'",1,0.100000
"Dreams and Nightmares",1,0.100000
"Tunnel Vision",1,0.100000
"Stay Fly",2,0.200000
"Hot N*gga",1,0.100000
"Mask Off",1,0.100000
"Locked out of Heaven",1,0.100000
"On the Road Again",1,0.100000
"Drink N Dance",1,0.100000
"Nights Like This",1,0.100000
"Always Be My Fault",1,0.100000
"BOP",2,0.200000
"GIMME A HUG",1,0.100000
"CN TOWER",1,0.100000
"Champions",1,0.100000
"Bulletproof",2,0.200000
"Started From the Bottom",1,0.100000
"Best I Ever Had",1,0.100000
"Better Man",2,0.200000
"2AM",1,0.100000
"All Day",1,0.100000
"I Don't Fuck With You",1,0.100000
"Hate Bein' Sober",1,0.100000
"9",1,0.100000
"Money Longer",1,0.100000
"Swang",1,0.100000
"Bank Account",1,0.100000
"MIDDLE CHILD",2,0.200000
"Doot Doot (6 7)",1,0.100000
"m.A.A.d city",1,0.100000
"My Shit",1,0.100000
"Me and My Guitar",1,0.100000
"Lifestyle",1,0.100000
"Magnolia",1,0.100000
"No Hands (feat. Roscoe Dash & Wale)",1,0.100000
"ZEZE (feat. Travis Scott & Offset)",1,0.100000
"Under The Sun (with J. Cole & Lute feat. DaBaby)",2,0.200000
"My Way (feat. Monty)",1,0.100000
"Mona Lisa (feat. Kendrick Lamar)",1,0.100000
"Need It (feat. YoungBoy Never Broke Again)",1,0.100000
"Faneto",1,0.100000
"Kills",1,0.100000
"Save Me",1,0.100000
"Don't Like.1",1,0.100000
"Yes Sir",1,0.100000
"Bitch Where",1,0.100000
